sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,photo_status,image_path,landing_page,source_verification
PGE-KIK-001,Kikusui,GEMINI,CLUTCH RETAINING RING,Drive Components,KG-1L,MCL-1,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-001.webp,/parts/pge-kik-001/,Verified — index and product page agree
PGE-KIK-002,Kikusui,GEMINI,LOAD CELL WEAR PLATE,Drive Components,KG-010,Not listed in source catalog,6,Photo not available,,/parts/pge-kik-002/,Verified — index and product page agree
PGE-KIK-003,Kikusui,GEMINI,EJECTOR CAM,Lower Cam Tracks,KG-17,G-17,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-003.webp,/parts/pge-kik-003/,Verified — index and product page agree
PGE-KIK-004,Kikusui,GEMINI,DOWN GUIDE 1-8MM FILL CAM GREASE TSM B,Lower Cam Tracks,K-G-18-4/1,Not listed in source catalog,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-004.webp,/parts/pge-kik-004/,Verified — index and product page agree
PGE-KIK-005,Kikusui,GEMINI,DOWN GUIDE 4-11MM FILL CAM GREASE TSM B,Lower Cam Tracks,KG-28-4/1,Not listed in source catalog,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-005.webp,/parts/pge-kik-005/,Verified — index and product page agree
PGE-KIK-006,Kikusui,GEMINI,DOWN GUIDE 9-16MM FILL CAM GREASE TSM B,Lower Cam Tracks,KG-29-4/1,Not listed in source catalog,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-006.webp,/parts/pge-kik-006/,Verified — index and product page agree
PGE-KIK-007,Kikusui,GEMINI,LUBE CAM COVER TSM B,Lower Cam Tracks,KG-48-2-QT,Not listed in source catalog,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-007.webp,/parts/pge-kik-007/,Verified — index and product page agree
PGE-KIK-008,Kikusui,GEMINI,SNAP FASTENER,Other,C-1023-1,G-17,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-008.webp,/parts/pge-kik-008/,Reviewed — product-page value used
PGE-KIK-009,Kikusui,GEMINI,POP LOCK LATCH,Other,C-1255-5,MCL-1,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-009.webp,/parts/pge-kik-009/,Reviewed — product-page value used
PGE-KIK-010,Kikusui,GEMINI,SETTING PLATE FOR ROLL BEARING,Pressure Rolls & Components,KG-R-4,Not listed in source catalog,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-010.webp,/parts/pge-kik-010/,Reviewed — product-page value used
PGE-KIK-011,Kikusui,GEMINI,COLLAR FOR ROLL SHAFT,Pressure Rolls & Components,KG-R-8,Not listed in source catalog,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-011.webp,/parts/pge-kik-011/,Verified — index and product page agree
PGE-KIK-012,Kikusui,GEMINI,LOAD CELL TENSION BRACKET,Pressure Rolls & Components,KG-AW-9,Not listed in source catalog,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-012.webp,/parts/pge-kik-012/,Verified — index and product page agree
PGE-KIK-013,Kikusui,GEMINI,UPPER/LOWER ROLL,Pressure Rolls & Components,KG-R-1,R-1,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-013.webp,/parts/pge-kik-013/,Verified — index and product page agree
PGE-KIK-014,Kikusui,GEMINI,BEARING FOR ROLL,Pressure Rolls & Components,SL04-5014,Not listed in source catalog,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-014.webp,/parts/pge-kik-014/,Verified — index and product page agree
PGE-KIK-015,Kikusui,GEMINI,BEARING FOR ROLL SHAFT - B,Pressure Rolls & Components,SL04-5013,Not listed in source catalog,6,Catalog photo,/assets/images/parts/kikusui/pge-kik-015.webp,/parts/pge-kik-015/,Verified — index and product page agree
PGE-KIK-016,Kikusui,GEMINI,TABLET OUTLET RAIL,Product Control,G-45,G-45,7,Catalog photo,/assets/images/parts/kikusui/pge-kik-016.webp,/parts/pge-kik-016/,Verified — index and product page agree
PGE-KIK-017,Kikusui,GEMINI,UPPER PUNCH GUIDE RAIL (FRONT),Product Control,K-014-G-03,014-G-03,7,Catalog photo,/assets/images/parts/kikusui/pge-kik-017.webp,/parts/pge-kik-017/,Verified — index and product page agree
PGE-KIK-018,Kikusui,GEMINI,UPPER PUNCH SETTING RAIL,Product Control,K-014-G-05,014-G-05,7,Catalog photo,/assets/images/parts/kikusui/pge-kik-018.webp,/parts/pge-kik-018/,Verified — index and product page agree
PGE-KIK-019,Kikusui,GEMINI,DUMPER DISCHARGE COVER,Product Control,K-119,JC-119,7,Catalog photo,/assets/images/parts/kikusui/pge-kik-019.webp,/parts/pge-kik-019/,Verified — index and product page agree
PGE-KIK-020,Kikusui,GEMINI,DUMPER DISCHARGE,Product Control,K-129,014-JC-129,7,Catalog photo,/assets/images/parts/kikusui/pge-kik-020.webp,/parts/pge-kik-020/,Verified — index and product page agree
PGE-KIK-021,Kikusui,GEMINI,INSERT FOR FEED FRAME - DELRIN,Product Control,KG-01,Not listed in source catalog,7,Catalog photo,/assets/images/parts/kikusui/pge-kik-021.webp,/parts/pge-kik-021/,Reviewed — product-page value used
PGE-KIK-022,Kikusui,GEMINI,INSERT FOR FEED FRAME - DELRIN,Product Control,KG-02,Not listed in source catalog,7,Catalog photo,/assets/images/parts/kikusui/pge-kik-022.webp,/parts/pge-kik-022/,Reviewed — product-page value used
PGE-KIK-023,Kikusui,GEMINI,VOLUME RAIL - BRONZE,Product Control,KG-1-4,41643,7,Catalog photo,/assets/images/parts/kikusui/pge-kik-023.webp,/parts/pge-kik-023/,Verified — index and product page agree
