record_number,sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,image_position,photo_status,verification,review_notes,image_path
1,PGE-KIK-001,Kikusui,GEMINI,CLUTCH RETAINING RING,Drive Components,KG-1L,MCL-1,6,R1C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-001.webp
2,PGE-KIK-002,Kikusui,GEMINI,LOAD CELL WEAR PLATE,Drive Components,KG-010,N/A,6,R1C2,Photo not available,Verified — index and product page agree,,
3,PGE-KIK-003,Kikusui,GEMINI,EJECTOR CAM,Lower Cam Tracks,KG-17,G-17,6,R1C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-003.webp
4,PGE-KIK-004,Kikusui,GEMINI,DOWN GUIDE 1-8MM FILL CAM GREASE TSM B,Lower Cam Tracks,K-G-18-4/1,N/A,6,R2C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-004.webp
5,PGE-KIK-005,Kikusui,GEMINI,DOWN GUIDE 4-11MM FILL CAM GREASE TSM B,Lower Cam Tracks,KG-28-4/1,N/A,6,R2C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-005.webp
6,PGE-KIK-006,Kikusui,GEMINI,DOWN GUIDE 9-16MM FILL CAM GREASE TSM B,Lower Cam Tracks,KG-29-4/1,N/A,6,R2C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-006.webp
7,PGE-KIK-007,Kikusui,GEMINI,LUBE CAM COVER TSM B,Lower Cam Tracks,KG-48-2-QT,N/A,6,R3C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-007.webp
8,PGE-KIK-008,Kikusui,GEMINI,SNAP FASTENER,Other,C-1023-1,G-17,6,R3C2,Catalog photo,Reviewed — product-page value used,Index oem number: (blank); pictured product page: G-17.,/assets/images/parts/kikusui/pge-kik-008.webp
9,PGE-KIK-009,Kikusui,GEMINI,POP LOCK LATCH,Other,C-1255-5,MCL-1,6,R3C3,Catalog photo,Reviewed — product-page value used,Index oem number: (blank); pictured product page: MCL-1.,/assets/images/parts/kikusui/pge-kik-009.webp
10,PGE-KIK-010,Kikusui,GEMINI,SETTING PLATE FOR ROLL BEARING,Pressure Rolls & Components,KG-R-4,N/A,6,R4C1,Catalog photo,Reviewed — product-page value used,Index part name: SETTING PLASTE FOR ROLL BEARTING; pictured product page: SETTING PLATE FOR ROLL BEARING.,/assets/images/parts/kikusui/pge-kik-010.webp
11,PGE-KIK-011,Kikusui,GEMINI,COLLAR FOR ROLL SHAFT,Pressure Rolls & Components,KG-R-8,N/A,6,R4C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-011.webp
12,PGE-KIK-012,Kikusui,GEMINI,LOAD CELL TENSION BRACKET,Pressure Rolls & Components,KG-AW-9,N/A,6,R4C3,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-012.webp
13,PGE-KIK-013,Kikusui,GEMINI,UPPER/LOWER ROLL,Pressure Rolls & Components,KG-R-1,R-1,6,R5C1,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-013.webp
14,PGE-KIK-014,Kikusui,GEMINI,BEARING FOR ROLL,Pressure Rolls & Components,SL04-5014,N/A,6,R5C2,Catalog photo,Verified — index and product page agree,,/assets/images/parts/kikusui/pge-kik-014.webp
