sku,make,model,category,part_name,oem_number,catalog_part_number,catalog_page,image_status,image_path
PGE-KOR-001,Korsch,PH106,Product Control,FEED FRAME ASSEMBLY,N/A,KO-024,8,Catalog photo,/assets/images/parts/korsch/pge-kor-001.webp
PGE-KOR-002,Korsch,PH106,Product Control,SCRAPER BLADE 1,N/A,KO-024-2,8,Catalog photo,/assets/images/parts/korsch/pge-kor-002.webp
PGE-KOR-003,Korsch,PH106,Product Control,SCRAPER BLADE 2,N/A,KO-024-3,8,Catalog photo,/assets/images/parts/korsch/pge-kor-003.webp
PGE-KOR-004,Korsch,PH106,Product Control,SCRAPER BLADE 3,N/A,KO-024-4,8,Catalog photo,/assets/images/parts/korsch/pge-kor-004.webp
PGE-KOR-005,Korsch,PH106,Turret Hardware,DIE LOCK SCREW,N/A,DL-6,8,Catalog photo,/assets/images/parts/korsch/pge-kor-005.webp
PGE-KOR-006,Korsch,PH230,Lower Cam Tracks,EJECTION CAM,70150069,KO12-069,9,Catalog photo,/assets/images/parts/korsch/pge-kor-006.webp
PGE-KOR-007,Korsch,PH230,Product Control,FEEDER BASE PLATE,73100057,KO12-057,9,Catalog photo,/assets/images/parts/korsch/pge-kor-007.webp
PGE-KOR-008,Korsch,PH230,Product Control,FEEDER BASE PLATE WEAR INSERT,N/A,KO12-057/1,9,Catalog photo,/assets/images/parts/korsch/pge-kor-008.webp
PGE-KOR-009,Korsch,PH230,Product Control,FEEDER BASE PLATE BRACKET,N/A,KO12-057/2,9,Catalog photo,/assets/images/parts/korsch/pge-kor-009.webp
PGE-KOR-010,Korsch,PH230,Product Control,FEEDER COVER,2080142,KO12-142,9,Catalog photo,/assets/images/parts/korsch/pge-kor-010.webp
PGE-KOR-011,Korsch,PH230,Product Control,FEEDER COVER WINDOW,N/A,KO12-142/1,9,Catalog photo,/assets/images/parts/korsch/pge-kor-011.webp
PGE-KOR-012,Korsch,PH230,Product Control,EXCESS MATERIAL SCRAPER ASSEMBLY,76900145,KO12-145,9,Catalog photo,/assets/images/parts/korsch/pge-kor-012.webp
PGE-KOR-013,Korsch,PH230,Upper Cam Tracks,UPPER PUNCH CAM,71120096,KO12-096,9,Catalog photo,/assets/images/parts/korsch/pge-kor-013.webp
PGE-KOR-014,Korsch,PH230,Upper Cam Tracks,UPPER LIFTING CAM,71120204,KO12-204,9,Catalog photo,/assets/images/parts/korsch/pge-kor-014.webp
PGE-KOR-015,Korsch,PH230,Upper Cam Tracks,HOLD DOWN DEVICE,71120209,KO12-209,9,Catalog photo,/assets/images/parts/korsch/pge-kor-015.webp
PGE-KOR-016,Korsch,PH230,Upper Cam Tracks,LOWERING CAM,71120213,KO12-213,9,Catalog photo,/assets/images/parts/korsch/pge-kor-016.webp
PGE-KOR-017,Korsch,PH230,Upper Cam Tracks,DWELL CAM,71120406,KO12-406,9,Catalog photo,/assets/images/parts/korsch/pge-kor-017.webp
PGE-KOR-018,Korsch,PH300,Lower Cam Tracks,DOSING RAIL,70150458,KO-458,10,Catalog photo,/assets/images/parts/korsch/pge-kor-018.webp
PGE-KOR-019,Korsch,PH300,Lower Cam Tracks,HOLD DOWN DEVICE 2 AMPCO EU “D”,N/A,KO-294,10,Catalog photo,/assets/images/parts/korsch/pge-kor-019.webp
PGE-KOR-020,Korsch,PH300,Lower Cam Tracks,LOWERING RAIL EU “D”,N/A,KO-169,10,Catalog photo,/assets/images/parts/korsch/pge-kor-020.webp
PGE-KOR-021,Korsch,PH300,Lower Cam Tracks,EJECTION RAIL,N/A,KO-08,10,Catalog photo,/assets/images/parts/korsch/pge-kor-021.webp
PGE-KOR-022,Korsch,PH300,Lower Cam Tracks,SEGMENT,N/A,KO-270,10,Catalog photo,/assets/images/parts/korsch/pge-kor-022.webp
PGE-KOR-023,Korsch,PH300,Lower Cam Tracks,DOSING RAIL TRANSITION CAM,70150459,KO-459,10,Catalog photo,/assets/images/parts/korsch/pge-kor-023.webp
PGE-KOR-024,Korsch,PH300,Pressure Rolls & Components,COMPRESSION ROLLER,7.138.0018,KO-018,10,Catalog photo,/assets/images/parts/korsch/pge-kor-024.webp
PGE-KOR-025,Korsch,PH300,Product Control,TABLET TAKE OFF ASSEMBLY,N/A,KO-074,10,Catalog photo,/assets/images/parts/korsch/pge-kor-025.webp
PGE-KOR-026,Korsch,PH300,Product Control,TABLET TAKE OFF RAMP,N/A,KO-074-1,10,Photo not available,/assets/images/parts/korsch/pge-kor-026.webp
PGE-KOR-027,Korsch,PH300,Upper Cam Tracks,UPPER RAISING CAM EU “D”,N/A,KO-255,10,Catalog photo,/assets/images/parts/korsch/pge-kor-027.webp
PGE-KOR-028,Korsch,PH423,Turrets,23 STATION TURRET ASSEMBLY*,N/A,KO42-23T/A,11,Stock photo,/assets/images/parts/korsch/pge-kor-028.webp
PGE-KOR-029,Korsch,PH423,Turret Hardware,DIE SEAT LOCK,N/A,KO42-DSL,11,Catalog photo,/assets/images/parts/korsch/pge-kor-029.webp
PGE-KOR-030,Korsch,PH800,Pressure Rolls & Components,COMPRESSION ROLLER,7.138.0018,KO-018,12,Catalog photo,/assets/images/parts/korsch/pge-kor-030.webp
PGE-KOR-031,Korsch,PH800,Product Control,FEEDER PADDLE (LEFT) (HOOKED),76850027,KO8-7027,12,Catalog photo,/assets/images/parts/korsch/pge-kor-031.webp
PGE-KOR-032,Korsch,PH800,Product Control,FEEDER PADDLE (RIGHT),76850028,KO8-7028,12,Catalog photo,/assets/images/parts/korsch/pge-kor-032.webp
PGE-KOR-033,Korsch,PH800,Product Control,FEEDER PAN INSERT,73100049,KO8-7049,12,Catalog photo,/assets/images/parts/korsch/pge-kor-033.webp
PGE-KOR-034,Korsch,PH800,Product Control,MODIFIED FEEDER PAN INSERT - DELRIN (ALL SERIES),N/A,KO8-7049/1,12,Catalog photo,/assets/images/parts/korsch/pge-kor-034.webp
PGE-KOR-035,Korsch,PH800,Product Control,FEEDER PAN,73100066,KO8-7066,12,Catalog photo,/assets/images/parts/korsch/pge-kor-035.webp
PGE-KOR-036,Korsch,PH800,Product Control,SPRING FOR FEEDER PAN INSERT SPRING (ALL SERIES),N/A,KO8-7066/P1,12,Catalog photo,/assets/images/parts/korsch/pge-kor-036.webp
PGE-KOR-037,Korsch,PH800,Product Control,MODIFIED FEEDER PAN WEAR STRIP SET (ALL SERIES),N/A,KO8-WST,12,Catalog photo,/assets/images/parts/korsch/pge-kor-037.webp
PGE-KOR-038,Korsch,PH800,Product Control,MODIFIED 14.5MM FEEDER PAN WITH WEAR STRIP,N/A,KO8-7066/1,12,Catalog photo,/assets/images/parts/korsch/pge-kor-038.webp
PGE-KOR-039,Korsch,PH800,Product Control,MODIFIED 20MM FEEDER PAN WITH WEAR STRIP,N/A,KO8-7066/2,12,Catalog photo,/assets/images/parts/korsch/pge-kor-039.webp
PGE-KOR-040,Korsch,PH800,Product Control,MODIFIED 6MM FEEDER PAN WITH WEAR STRIP,N/A,KO8-7066/3,12,Catalog photo,/assets/images/parts/korsch/pge-kor-040.webp
PGE-KOR-041,Korsch,XL100,Product Control,FEEDER PAN ASSEMBLY,85950119,KO-119,13,Catalog photo,/assets/images/parts/korsch/pge-kor-041.webp
PGE-KOR-042,Korsch,XL100,Product Control,TABLET TAKE-OFF,N/A,KO-119-1,13,Catalog photo,/assets/images/parts/korsch/pge-kor-042.webp
PGE-KOR-043,Korsch,XL100,Product Control,SCRAPER BLADE - LONG (PEEK),N/A,KO-119-2,13,Catalog photo,/assets/images/parts/korsch/pge-kor-043.webp
PGE-KOR-044,Korsch,XL100,Product Control,SCRAPER BLADE - SHORT (PEEK),N/A,KO-373,13,Catalog photo,/assets/images/parts/korsch/pge-kor-044.webp
PGE-KOR-045,Korsch,XL100,Product Control,FEEDER PADDLE,N/A,KO-96-1/P,13,Photo not available,/assets/images/parts/korsch/pge-kor-045.webp
PGE-KOR-046,Korsch,XL100,Product Control,FEEDER PADDLE ASSEMBLY - PLOW,N/A,KO-96/P/A,13,Photo not available,/assets/images/parts/korsch/pge-kor-046.webp
PGE-KOR-047,Korsch,XL100,Upper Cam Tracks,INNER CAM TRACK,71121417,KO1-141,13,Catalog photo,/assets/images/parts/korsch/pge-kor-047.webp
PGE-KOR-048,Korsch,XL100,Upper Cam Tracks,UPPER CAM RING- “B”,N/A,KO1-449,13,Catalog photo,/assets/images/parts/korsch/pge-kor-048.webp
PGE-KOR-049,Korsch,XL200,Product Control,COVER STRIP FOR ROTARY FEEDER - TAIL OVER DIE,70910020,KO-020,14,Catalog photo,/assets/images/parts/korsch/pge-kor-049.webp
PGE-KOR-050,Korsch,XL200,Product Control,INSERT FOR ROTARY FEEDER (INSERT AT EXIT),73100302,KO-302,14,Catalog photo,/assets/images/parts/korsch/pge-kor-050.webp
PGE-KOR-051,Korsch,XL200,Product Control,MATERIAL STRIPPING DEVICE FOR ROTARY FEEDER-SCRAPER BLADE,76900349,KO-349,14,Catalog photo,/assets/images/parts/korsch/pge-kor-051.webp
PGE-KOR-052,Korsch,XL200,Turrets,25 STATION TURRET ASSEMBLY*,N/A,KO2-25T/A,14,Stock photo,/assets/images/parts/korsch/pge-kor-052.webp
PGE-KOR-053,Korsch,XL400,Complete Upper Cam Sustainer,RETAINING RING A12 X 1 DIN471,12080004,KO-004,15,Catalog photo,/assets/images/parts/korsch/pge-kor-053.webp
PGE-KOR-054,Korsch,XL400,Complete Upper Cam Sustainer,PARALLEL PIN - 6M6 x 6 x 30MM ISO 2338-ST,12090008,KO-008,15,Catalog photo,/assets/images/parts/korsch/pge-kor-054.webp
PGE-KOR-055,Korsch,XL400,Complete Upper Cam Sustainer,OIL PIPE 3,71300026,KO-026,15,Catalog photo,/assets/images/parts/korsch/pge-kor-055.webp
PGE-KOR-056,Korsch,XL400,Complete Upper Cam Sustainer,RETAINING RING A120MM X 4MM DIN471,12080045,KO-045,15,Catalog photo,/assets/images/parts/korsch/pge-kor-056.webp
PGE-KOR-057,Korsch,XL400,Complete Upper Cam Sustainer,PRESSURE SPRING - RAM,9030070,KO-070,15,Catalog photo,/assets/images/parts/korsch/pge-kor-057.webp
PGE-KOR-058,Korsch,XL400,Complete Upper Cam Sustainer,TAPPET,75100078,KO-078,15,Catalog photo,/assets/images/parts/korsch/pge-kor-058.webp
PGE-KOR-059,Korsch,XL400,Complete Upper Cam Sustainer,OIL PIPE 1,71300079,KO-079,15,Catalog photo,/assets/images/parts/korsch/pge-kor-059.webp
PGE-KOR-060,Korsch,XL400,Complete Upper Cam Sustainer,DEEP GROOVE BALL BEARING - CAM SUSTAINER,5000091,KO-091,15,Catalog photo,/assets/images/parts/korsch/pge-kor-060.webp
PGE-KOR-061,Korsch,XL400,Complete Upper Cam Sustainer,PRESSURE SPRING DIN 2076-C,9030105,KO-105,15,Catalog photo,/assets/images/parts/korsch/pge-kor-061.webp
PGE-KOR-062,Korsch,XL400,Complete Upper Cam Sustainer,STAND OFF,71760165,KO-165,15,Catalog photo,/assets/images/parts/korsch/pge-kor-062.webp
PGE-KOR-063,Korsch,XL400,Complete Upper Cam Sustainer,M8 X 20MM METRIC HEAD HEX BOLT,12010170,KO-170,15,Catalog photo,/assets/images/parts/korsch/pge-kor-063.webp
PGE-KOR-064,Korsch,XL400,Complete Upper Cam Sustainer,GUIDE SLEEVE,71700172,KO-172,15,Catalog photo,/assets/images/parts/korsch/pge-kor-064.webp
PGE-KOR-065,Korsch,XL400,Complete Upper Cam Sustainer,FLANGE FOR CAM SUSTAINER,71200178,KO-178,15,Catalog photo,/assets/images/parts/korsch/pge-kor-065.webp
PGE-KOR-066,Korsch,XL400,Complete Upper Cam Sustainer,SPRING RECEIVER,71200186,KO-186,15,Catalog photo,/assets/images/parts/korsch/pge-kor-066.webp
PGE-KOR-067,Korsch,XL400,Complete Upper Cam Sustainer,CAM SUSTAINER,71960254,KO-254,15,Catalog photo,/assets/images/parts/korsch/pge-kor-067.webp
PGE-KOR-068,Korsch,XL400,Complete Upper Cam Sustainer,PLAIN WASHER D95 X D22 X 10,71360310,KO-310,16,Catalog photo,/assets/images/parts/korsch/pge-kor-068.webp
PGE-KOR-069,Korsch,XL400,Complete Upper Cam Sustainer,PLAIN WASHER D95 X D22 X 28,71360311,KO-311,16,Catalog photo,/assets/images/parts/korsch/pge-kor-069.webp
PGE-KOR-070,Korsch,XL400,Complete Upper Cam Sustainer,BEARING PILLAR,75000139,KO-39,16,Catalog photo,/assets/images/parts/korsch/pge-kor-070.webp
PGE-KOR-071,Korsch,XL400,Complete Upper Cam Sustainer,LOCKING PIN,71720390,KO-390,16,Catalog photo,/assets/images/parts/korsch/pge-kor-071.webp
PGE-KOR-072,Korsch,XL400,Complete Upper Cam Sustainer,RING SET D149.5X D140 X 38 x /D130 x D120.5 x 38,71340444,KO-444,16,Catalog photo,/assets/images/parts/korsch/pge-kor-072.webp
PGE-KOR-073,Korsch,XL400,Complete Upper Cam Sustainer,DISTANCE DISK D135 X D120.2 X 7,71340445,KO-445,16,Catalog photo,/assets/images/parts/korsch/pge-kor-073.webp
PGE-KOR-074,Korsch,XL400,Complete Upper Cam Sustainer,RING SEGMENT,71340471,KO-471,16,Catalog photo,/assets/images/parts/korsch/pge-kor-074.webp
PGE-KOR-075,Korsch,XL400,Complete Upper Cam Sustainer,PLUNGER,71121485-1,KO-485-1,16,Catalog photo,/assets/images/parts/korsch/pge-kor-075.webp
PGE-KOR-076,Korsch,XL400,Complete Upper Cam Sustainer,ORIENTATION PIN,71121485-3,KO-485-3,16,Catalog photo,/assets/images/parts/korsch/pge-kor-076.webp
PGE-KOR-077,Korsch,XL400,Complete Upper Cam Sustainer,DISTANCE RING D20 x D12H7 x 2,71340524,KO-524,16,Catalog photo,/assets/images/parts/korsch/pge-kor-077.webp
PGE-KOR-078,Korsch,XL400,Complete Upper Cam Sustainer,STRIP,73080176,KO-76,16,Catalog photo,/assets/images/parts/korsch/pge-kor-078.webp
PGE-KOR-079,Korsch,XL400,Complete Upper Cam Sustainer,SPHERICAL BUTTON,N/A,KO-89,16,Catalog photo,/assets/images/parts/korsch/pge-kor-079.webp
PGE-KOR-080,Korsch,XL400,Complete Upper Cam Sustainer,HEX HEAD CAP SCREW,N/A,M10 X 45,16,Catalog photo,/assets/images/parts/korsch/pge-kor-080.webp
