sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,photo_status,image_path,landing_page,source_verification
PGE-MAN-0001,Manesty,B3B,SEALING RING,Drive Components,M-123,35123,32,Catalog photo,/assets/images/parts/manesty/pge-man-0001-sealing-ring-oem-35123.png,/parts/pge-man-0001/,Verified
PGE-MAN-0002,Manesty,B3B,BEARING FOR WORM SHAFT,Drive Components,M-51,35051,32,Catalog photo,/assets/images/parts/manesty/pge-man-0002-bearing-for-worm-shaft-oem-35051.png,/parts/pge-man-0002/,Verified
PGE-MAN-0003,Manesty,B3B,SPACER,Drive Components,M5-11,35113,32,Catalog photo,/assets/images/parts/manesty/pge-man-0003-spacer-oem-35113.png,/parts/pge-man-0003/,Verified
PGE-MAN-0004,Manesty,B3B,SPACER,Drive Components,M5-112,35112,32,Catalog photo,/assets/images/parts/manesty/pge-man-0004-spacer-oem-35112.png,/parts/pge-man-0004/,Verified
PGE-MAN-0005,Manesty,B3B,WORMSHAFT,Drive Components,M5-160,35160,32,Catalog photo,/assets/images/parts/manesty/pge-man-0005-wormshaft-oem-35160.png,/parts/pge-man-0005/,Verified
PGE-MAN-0006,Manesty,B3B,BEARING FOR WORM SHAFT,Drive Components,M5-52,35052,32,Catalog photo,/assets/images/parts/manesty/pge-man-0006-bearing-for-worm-shaft-oem-35052.png,/parts/pge-man-0006/,Verified
PGE-MAN-0007,Manesty,B3B,SEALING RING,Drive Components,M5-87,35087,32,Catalog photo,/assets/images/parts/manesty/pge-man-0007-sealing-ring-oem-35087.png,/parts/pge-man-0007/,Verified
PGE-MAN-0008,Manesty,B3B,BRONZE WORM,Drive Components,WG-4,"35042, A-213-848-1",32,Catalog photo,/assets/images/parts/manesty/pge-man-0008-bronze-worm-oem-35042-a-213-848-1.png,/parts/pge-man-0008/,Verified
PGE-MAN-0009,Manesty,B3B,FLANGED SPACER,Drive Components,M-115,35115,32,Catalog photo,/assets/images/parts/manesty/pge-man-0009-flanged-spacer-oem-35115.png,/parts/pge-man-0009/,Verified
PGE-MAN-0010,Manesty,B3B,REAR LOWER GUARD TOP PLATE,Guarding,M5-167,35167,32,Catalog photo,/assets/images/parts/manesty/pge-man-0010-rear-lower-guard-top-plate-oem-35167.png,/parts/pge-man-0010/,Verified
PGE-MAN-0011,Manesty,B3B,TURRET GUARD SET (3 PCS),Guarding,M5-456,Not listed in source catalog,32,Catalog photo,/assets/images/parts/manesty/pge-man-0011-turret-guard-set-3-pcs-oem-n-a.png,/parts/pge-man-0011/,Verified
PGE-MAN-0012,Manesty,B3B,SIDE UPPER GUIDE PIECE,Guarding,M5-5,Not listed in source catalog,32,Catalog photo,/assets/images/parts/manesty/pge-man-0012-side-upper-guide-piece-oem-n-a.png,/parts/pge-man-0012/,Verified
PGE-MAN-0013,Manesty,B3B,DRIP LUBRICATOR,Hydraulic & Lubrication Components,M-15,1150,32,Catalog photo,/assets/images/parts/manesty/pge-man-0013-drip-lubricator-oem-1150.png,/parts/pge-man-0013/,Verified
PGE-MAN-0014,Manesty,B3B,HYDRAULIC TONNAGE GAUGE SYSTEM,Hydraulic & Lubrication Components,M-177,Not listed in source catalog,32,Catalog photo,/assets/images/parts/manesty/pge-man-0014-hydraulic-tonnage-gauge-system-oem-n-a.png,/parts/pge-man-0014/,Verified
PGE-MAN-0015,Manesty,B3B,UPPER OIL PAD,Hydraulic & Lubrication Components,M-72,35072,32,Catalog photo,/assets/images/parts/manesty/pge-man-0015-upper-oil-pad-oem-35072.png,/parts/pge-man-0015/,Verified
