record_number,batch_image_number,sku,make,model,part_name,category,catalog_part_number,oem_number,catalog_page,image_position,photo_status,verification,image_path
1,1,PGE-MAN-0001,Manesty,B3B,SEALING RING,Drive Components,M-123,35123,32,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0001-sealing-ring-m-123-oem-35123.png
2,2,PGE-MAN-0002,Manesty,B3B,BEARING FOR WORM SHAFT,Drive Components,M-51,35051,32,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0002-bearing-for-worm-shaft-m-51-oem-35051.png
3,3,PGE-MAN-0003,Manesty,B3B,SPACER,Drive Components,M5-11,35113,32,3,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0003-spacer-m5-11-oem-35113.png
4,4,PGE-MAN-0004,Manesty,B3B,SPACER,Drive Components,M5-112,35112,32,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0004-spacer-m5-112-oem-35112.png
5,5,PGE-MAN-0005,Manesty,B3B,WORMSHAFT,Drive Components,M5-160,35160,32,5,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0005-wormshaft-m5-160-oem-35160.png
6,6,PGE-MAN-0006,Manesty,B3B,BEARING FOR WORM SHAFT,Drive Components,M5-52,35052,32,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0006-bearing-for-worm-shaft-m5-52-oem-35052.png
7,7,PGE-MAN-0007,Manesty,B3B,SEALING RING,Drive Components,M5-87,35087,32,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0007-sealing-ring-m5-87-oem-35087.png
8,8,PGE-MAN-0008,Manesty,B3B,BRONZE WORM,Drive Components,WG-4,"35042, A-213-848-1",32,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0008-bronze-worm-wg-4-oem-35042-a-213-848-1.png
9,9,PGE-MAN-0009,Manesty,B3B,FLANGED SPACER,Drive Components,M-115,35115,32,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0009-flanged-spacer-m-115-oem-35115.png
10,10,PGE-MAN-0010,Manesty,B3B,REAR LOWER GUARD TOP PLATE,Guarding,M5-167,35167,32,10,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0010-rear-lower-guard-top-plate-m5-167-oem-35167.png
11,11,PGE-MAN-0011,Manesty,B3B,TURRET GUARD SET (3 PCS),Guarding,M5-456,N/A,32,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0011-turret-guard-set-3-pcs-m5-456-oem-n-a.png
12,12,PGE-MAN-0012,Manesty,B3B,SIDE UPPER GUIDE PIECE,Guarding,M5-5,N/A,32,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0012-side-upper-guide-piece-m5-5-oem-n-a.png
13,13,PGE-MAN-0013,Manesty,B3B,DRIP LUBRICATOR,Hydraulic & Lubrication Components,M-15,1150,32,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0013-drip-lubricator-m-15-oem-1150.png
14,14,PGE-MAN-0014,Manesty,B3B,HYDRAULIC TONNAGE GAUGE SYSTEM,Hydraulic & Lubrication Components,M-177,N/A,32,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0014-hydraulic-tonnage-gauge-system-m-177-oem-n-a.png
15,15,PGE-MAN-0015,Manesty,B3B,UPPER OIL PAD,Hydraulic & Lubrication Components,M-72,35072,32,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0015-upper-oil-pad-m-72-oem-35072.png
16,16,PGE-MAN-0016,Manesty,B3B,DRIP LUBRICATOR,Hydraulic & Lubrication Components,M-78,36178,33,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0016-drip-lubricator-m-78-oem-36178.png
17,17,PGE-MAN-0017,Manesty,B3B,PUNCH LOADING PLUG,Lower Cam Tracks,M-10,35010,33,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0017-punch-loading-plug-m-10-oem-35010.png
18,18,PGE-MAN-0018,Manesty,B3B,WEIGHT ADJUST CAM SCREW,Lower Cam Tracks,M5-148,35148,33,3,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0018-weight-adjust-cam-screw-m5-148-oem-35148.png
19,19,PGE-MAN-0019,Manesty,B3B,EJECTION CAM,Lower Cam Tracks,M5-22,35022,33,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0019-ejection-cam-m5-22-oem-35022.png
20,20,PGE-MAN-0020,Manesty,B3B,LOWER CAM TRACK,Lower Cam Tracks,M5-72,35172,33,5,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0020-lower-cam-track-m5-72-oem-35172.png
21,21,PGE-MAN-0021,Manesty,B3B,PUNCH ADJUSTER SCREW,Lower Cam Tracks,M-94,36094,33,6,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0021-punch-adjuster-screw-m-94-oem-36094.png
22,22,PGE-MAN-0022,Manesty,B3B,FULCRUM PIN,Pressure Rolls & Components,M5-23,35023,33,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0022-fulcrum-pin-m5-23-oem-35023.png
23,23,PGE-MAN-0023,Manesty,B3B,UPPER ROLL PIN,Pressure Rolls & Components,M5-8,35008,33,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0023-upper-roll-pin-m5-8-oem-35008.png
24,24,PGE-MAN-0024,Manesty,B3B,LOWER ROLL PIN,Pressure Rolls & Components,M-9,35009,33,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0024-lower-roll-pin-m-9-oem-35009.png
25,25,PGE-MAN-0025,Manesty,B3B,UPPER OR LOWER PRESSURE ROLL,Pressure Rolls & Components,PR-7,35007,33,10,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0025-upper-or-lower-pressure-roll-pr-7-oem-35007.png
26,26,PGE-MAN-0026,Manesty,B3B,DUST NOZZLE ASSEMBLY,Product Control,M-117,35117,33,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0026-dust-nozzle-assembly-m-117-oem-35117.png
27,27,PGE-MAN-0027,Manesty,B3B,FEED FRAME LOCKNUT,Product Control,M-118,36118,33,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0027-feed-frame-locknut-m-118-oem-36118.png
28,28,PGE-MAN-0028,Manesty,B3B,HOPPER SPINDLE - COMPLETE,Product Control,M-124,35124,33,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0028-hopper-spindle-complete-m-124-oem-35124.png
29,29,PGE-MAN-0029,Manesty,B3B,FEED FRAME LOCKNUT - FRONT,Product Control,M5-041,35041,33,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0029-feed-frame-locknut-front-m5-041-oem-35041.png
30,30,PGE-MAN-0030,Manesty,B3B,FEED FRAME STUD,Product Control,M5-110,35110,33,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0030-feed-frame-stud-m5-110-oem-35110.png
31,31,PGE-MAN-0031,Manesty,B3B,SCRAPER BLADE,Product Control,M5-16,35016,34,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0031-scraper-blade-m5-16-oem-35016.png
32,32,PGE-MAN-0032,Manesty,B3B,TAKE-OFF PLATE,Product Control,M5-17,35017,34,2,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0032-take-off-plate-m5-17-oem-35017.png
33,33,PGE-MAN-0033,Manesty,B3B,HOPPER CLAMP SCREW,Product Control,M-67,36067,34,3,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0033-hopper-clamp-screw-m-67-oem-36067.png
34,34,PGE-MAN-0034,Manesty,B3B,HOPPER,Product Control,M-103,35103,34,4,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0034-hopper-m-103-oem-35103.png
37,35,PGE-MAN-0037,Manesty,B3B,FEED FRAME,Product Control,SB1-57,C-220-057-1,34,7,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0037-feed-frame-sb1-57-oem-c-220-057-1.png
38,36,PGE-MAN-0038,Manesty,B3B,FEED FRAME- ASSEMBLY,Product Control,SB1-57/A,C-220-057-1,34,8,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0038-feed-frame-assembly-sb1-57-a-oem-c-220-057-1.png
39,37,PGE-MAN-0039,Manesty,B3B,FEED FRAME- ALUMINUM,Product Control,SB1-57/AL,C-220-157-1A,34,9,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0039-feed-frame-aluminum-sb1-57-al-oem-c-220-157-1a.png
41,38,PGE-MAN-0041,Manesty,B3B,SCRAPER SPRING,Product Control,SP-8,"37077, 35018, 36062",34,11,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0041-scraper-spring-sp-8-oem-37077-35018-36062.png
42,39,PGE-MAN-0042,Manesty,B3B,FORK PIN,Thickness/Hardness Components,M-24,35024,34,12,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0042-fork-pin-m-24-oem-35024.png
43,40,PGE-MAN-0043,Manesty,B3B,DIE LOCK SCREW,Turret Hardware,DL-50/1,N/A,34,13,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0043-die-lock-screw-dl-50-1-oem-n-a.png
44,41,PGE-MAN-0044,Manesty,B3B,DIE LOCK SCREW,Turret Hardware,DL-50/2,44775,34,14,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0044-die-lock-screw-dl-50-2-oem-44775.png
45,42,PGE-MAN-0045,Manesty,B3B,DIE LOCK SCREW,Turret Hardware,DL-56,"36156, AD-0",34,15,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0045-die-lock-screw-dl-56-oem-36156-ad-0.png
46,43,PGE-MAN-0046,Manesty,B3B,LOWER PUNCH RETAINER SPRING,Turret Hardware,M-518,38518,35,1,Catalog photo,Verified,/assets/images/parts/manesty/pge-man-0046-lower-punch-retainer-spring-m-518-oem-38518.png
