sku,part_name,manufacturer_reference,model_reference,oem_part_number,oem_number_status,configuration_or_variant,source_title,source_url,source_type,evidence_notes,reviewed_on,approved_for_publication
PGE-K300-001,Main Roller Bearing,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-002,Journal Bearing Upper Pre-Compression,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-003,Main Compression Roller,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-004,Main Compression Roller Alternate Configuration,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-005,Pre-Compression Roller,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-006,Pre-Compression Roller ML,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-007,Pre-Compression Shaft,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-008,Pre-Compression Upper Inner Arm,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-009,Pre-Compression Upper Outer Arm,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-010,Eccentric Shaft Lower Pre-Compression,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-011,Cam Behind Upper Roller,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-012,Guide Dosing Cam Bolt,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-013,Feeder Paddle Right,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-014,Feeder Paddle Left,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-015,PTFE Seal With Lip,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-016,Three Quarter Inch Punch Seal,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
