sku,current_name,make,retained_model_folder,review_status,publication_decision,approved_part_name,approved_model,verified_oem,catalog_page,pdf_page,source_url,evidence_notes,approved_for_publication
PGE-K300-001,Main Roller Bearing,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-002,Journal Bearing Upper Pre-Compression,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-003,Main Compression Roller,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-004,Main Compression Roller Alternate Configuration,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-005,Pre-Compression Roller,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-006,Pre-Compression Roller ML,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-007,Pre-Compression Shaft,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-008,Pre-Compression Upper Inner Arm,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-009,Pre-Compression Upper Outer Arm,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-010,Eccentric Shaft Lower Pre-Compression,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
