sku,part_name,manufacturer_reference,model_reference,image_path,identity_source,technical_description_status,search_alias_status,landing_page
PGE-KOR-001,FEED FRAME ASSEMBLY,Korsch,PH106,/assets/images/parts/korsch/pge-kor-001.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-001/
PGE-KOR-002,SCRAPER BLADE 1,Korsch,PH106,/assets/images/parts/korsch/pge-kor-002.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-002/
PGE-KOR-003,SCRAPER BLADE 2,Korsch,PH106,/assets/images/parts/korsch/pge-kor-003.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-003/
PGE-KOR-004,SCRAPER BLADE 3,Korsch,PH106,/assets/images/parts/korsch/pge-kor-004.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-004/
PGE-KOR-005,DIE LOCK SCREW,Korsch,PH106,/assets/images/parts/korsch/pge-kor-005.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-005/
PGE-KOR-006,EJECTION CAM,Korsch,PH230,/assets/images/parts/korsch/pge-kor-006.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-006/
PGE-KOR-007,FEEDER BASE PLATE,Korsch,PH230,/assets/images/parts/korsch/pge-kor-007.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-007/
PGE-KOR-008,FEEDER BASE PLATE WEAR INSERT,Korsch,PH230,/assets/images/parts/korsch/pge-kor-008.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-008/
PGE-KOR-009,FEEDER BASE PLATE BRACKET,Korsch,PH230,/assets/images/parts/korsch/pge-kor-009.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-009/
PGE-KOR-010,FEEDER COVER,Korsch,PH230,/assets/images/parts/korsch/pge-kor-010.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-010/
PGE-KOR-011,FEEDER COVER WINDOW,Korsch,PH230,/assets/images/parts/korsch/pge-kor-011.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-011/
PGE-KOR-012,EXCESS MATERIAL SCRAPER ASSEMBLY,Korsch,PH230,/assets/images/parts/korsch/pge-kor-012.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-012/
PGE-KOR-013,UPPER PUNCH CAM,Korsch,PH230,/assets/images/parts/korsch/pge-kor-013.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-013/
PGE-KOR-014,UPPER LIFTING CAM,Korsch,PH230,/assets/images/parts/korsch/pge-kor-014.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-014/
PGE-KOR-015,HOLD DOWN DEVICE,Korsch,PH230,/assets/images/parts/korsch/pge-kor-015.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-015/
PGE-KOR-016,LOWERING CAM,Korsch,PH230,/assets/images/parts/korsch/pge-kor-016.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-016/
PGE-KOR-017,DWELL CAM,Korsch,PH230,/assets/images/parts/korsch/pge-kor-017.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-017/
PGE-KOR-018,DOSING RAIL,Korsch,PH300,/assets/images/parts/korsch/pge-kor-018.webp,Verified Korsch source-catalog row and matched generated image,"Part name, model, and OEM value transcribed from source catalog; final dimensional fit requires confirmation",Format and terminology variants generated from confirmed part name,/parts/pge-kor-018/
