sku,make,model,category,part_name,catalog_part_number,oem_number,catalog_page,grid_position,image_status,image_path
PGE-STK-0001,Stokes,328,Drive Components,ANGULAR CONTACT BEARING,S35-132,N/A,35,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0001.webp
PGE-STK-0002,Stokes,328,Drive Components,BEARING ROLLER,S35-102,11-BC-102,35,R1C2,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0003,Stokes,328,Drive Components,DRIVE PULLEY,S35-021,08-EM-001,35,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0003.webp
PGE-STK-0004,Stokes,328,Drive Components,RING GEAR,S35-858,D-236-858-1,35,R2C1,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0005,Stokes,328,Drive Components,FLANGED IDLER PULLEY,S-894,085-018-894,35,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0005.webp
PGE-STK-0006,Stokes,328,Drive Components,IDLER SHAFT,S-893/1,N/A,35,R2C3,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0007,Stokes,328,Drive Components,WORM SHAFT BEARING PLATE,S35-158,B-296-158-001,35,R3C1,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0008,Stokes,328,Drive Components,ROLLER BEARING AND RACE,S35-646,085-6-646,35,R3C2,No source photo available,/assets/images/parts/stokes-catalog/image-pending.svg
PGE-STK-0009,Stokes,328,Drive Components,RATCHET WRENCH,S35-028,10-BC-028,35,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0009.webp
PGE-STK-0010,Stokes,328,Drive Components,CRANK PIN SCREW,S35-031,01-BHA-031-A,35,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0010.webp
PGE-STK-0011,Stokes,328,Drive Components,RETAINING PLATE,S35-085,233-085-003,35,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0011.webp
PGE-STK-0012,Stokes,328,Drive Components,RADIAL BALL BEARING REAR- CLUTCH SIDE,S35-190,11-AB-090,35,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0012.webp
PGE-STK-0013,Stokes,328,Drive Components,DRIVE SHAFT SPROCKET,S35-223,B-294-223-016,35,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0013.webp
PGE-STK-0014,Stokes,328,Drive Components,WORMSHAFT HOUSING COVER,S35-228,B-294-228-001,35,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0014.webp
PGE-STK-0015,Stokes,328,Drive Components,GENERATOR SPROCKET,S35-230,B-294-223-017,35,R5C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0015.webp
PGE-STK-0016,Stokes,328,Drive Components,SEAL CARRIER - WORM DRIVE ASSEMBLY,S35-244,B-233-244-001,36,R1C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0016.webp
PGE-STK-0017,Stokes,328,Drive Components,PILLOW BEARING,S35-262,085-007-262,36,R1C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0017.webp
PGE-STK-0018,Stokes,328,Drive Components,MOTOR BASE SHAFT EXTENSION,S35-284,B-294-284-004,36,R1C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0018.webp
PGE-STK-0019,Stokes,328,Drive Components,CRANK PIN,S35-290,A-234-901-2,36,R2C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0019.webp
PGE-STK-0020,Stokes,328,Drive Components,O RING FOR WORMSHAFT HOUSING COVER,S35-31,022-2-31,36,R2C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0020.webp
PGE-STK-0021,Stokes,328,Drive Components,KEY FOR DRIVE SHAFT,S35-311/1,N/A,36,R2C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0021.webp
PGE-STK-0022,Stokes,328,Drive Components,WORM SHAFT,S35-311,C-233-311-009,36,R3C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0022.webp
PGE-STK-0023,Stokes,328,Drive Components,CRANK PIN WASHER,S35-327,085-012-327,36,R3C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0023.webp
PGE-STK-0024,Stokes,328,Drive Components,WORM SHAFT BRACKET,S35-491,C-248-491-004,36,R3C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0024.webp
PGE-STK-0025,Stokes,328,Drive Components,WASHER BELT TENSIONER PULLEY,S35-501,A-294-501-002,36,R4C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0025.webp
PGE-STK-0026,Stokes,328,Drive Components,COVER PLATE FINISH STRIP,S35-561,B-297-561-001,36,R4C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0026.webp
PGE-STK-0027,Stokes,328,Drive Components,COMPLETE CLUTCH ASSEMBLY,S35-565,N/A,36,R4C3,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0027.webp
PGE-STK-0028,Stokes,328,Drive Components,BEARING SET OF 2 FOR CLUTCH PULLEY,S35-610,085-012-610,36,R5C1,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0028.webp
PGE-STK-0029,Stokes,328,Drive Components,BEARING FOR WORMSHAFT BEARING PLATE,S35-611,085-012-611,36,R5C2,Generated visualization,/assets/images/parts/stokes-catalog/pge-stk-0029.webp
